Approved symbol	Approved name	Previous symbols	Synonyms	Chromosome	Accession numbers	RefSeq IDs	Ensembl gene ID	NCBI Gene ID
ACOX2	acyl-CoA oxidase 2		"BRCACOX, BRCOX, THCCox"	3p14.3	X95190	NM_003500	ENSG00000168306	8309
ACOX3	"acyl-CoA oxidase 3, pristanoyl"			4p16.1	Y11411		ENSG00000087008	8310
ACOXL	acyl-CoA oxidase like		FLJ11042	2q13		NM_018308	ENSG00000153093	55289
ACOXL-AS1	ACOXL antisense RNA 1			2q13		NR_122074	ENSG00000204581	400997
ACP1	acid phosphatase 1		"HAAP, LMW-PTP, LMWPTP"	2p25.3	M87546	NM_004300	ENSG00000143727	52
ACP2	"acid phosphatase 2, lysosomal"		LAP	11p11.2	X15525	NM_001610	ENSG00000134575	53
ACP4	acid phosphatase 4	ACPT		19q13.33	AF321918	NM_033068	ENSG00000142513	93650
ACP5	"acid phosphatase 5, tartrate resistant"		"TRAP, HPAP"	19p13.2	X14618		ENSG00000102575	54
ACP6	"acid phosphatase 6, lysophosphatidic"		"LPAP, ACPL1"	1q21.2	BC009965	NM_016361	ENSG00000162836	51205
ACP7	"acid phosphatase 7, tartrate resistant (putative)"		"FLJ16165, PAPL1, PAPL"	19q13.2		NM_001004318	ENSG00000183760	390928
ACPP	"acid phosphatase, prostate"		"ACP3, ACP-3, PAP"	3q22.1		NM_001099	ENSG00000014257	55
ACR	acrosin			22q13.33	CR456366	NM_001097	ENSG00000100312	49
ACRBP	acrosin binding protein		"SP32, OY-TES-1, CT23"	12p13.31	AB051833	NM_032489	ENSG00000111644	84519
ACRV1	acrosomal vesicle protein 1		"SPACA2, SP-10, D11S4365"	11q24.2	AK223335	NM_001612	ENSG00000134940	56
ACSBG1	acyl-CoA synthetase bubblegum family member 1		"BGM, FLJ30320, MGC14352, BG1, KIAA0631, hBG1, hsBG"	15q25.1	AB014531	NM_015162	ENSG00000103740	23205
ACSBG2	acyl-CoA synthetase bubblegum family member 2		"BGR, PRTD-NY3, DKFZp434K1635"	19p13.3		NM_030924	ENSG00000130377	81616
ACSF2	acyl-CoA synthetase family member 2		"FLJ20920, ACSMW"	17q21.33	"AK024573, BC012053"	NM_025149	ENSG00000167107	80221
ACSF3	acyl-CoA synthetase family member 3			16q24.3	AK075499	NM_174917	ENSG00000176715	197322
ACSL1	acyl-CoA synthetase long chain family member 1	FACL2	"LACS2, LACS, ACS1, LACS1, FACL1"	4q35.1	BC026290	NM_001995	ENSG00000151726	2180
ACSL3	acyl-CoA synthetase long chain family member 3	FACL3	"ACS3, PRO2194"	2q36.1	D89053	NM_004457	ENSG00000123983	2181
ACSL4	acyl-CoA synthetase long chain family member 4	"FACL4, MRX63, MRX68"	"ACS4, LACS4"	Xq23	BC034959	NM_004458	ENSG00000068366	2182
ACSL5	acyl-CoA synthetase long chain family member 5	FACL5	"ACS5, ACS2"	10q25.2	AB033899	NM_016234	ENSG00000197142	51703
ACSL6	acyl-CoA synthetase long chain family member 6	FACL6	"KIAA0837, ACS2, LACS5, LACS2"	5q31.1	AB020644	NM_015256	ENSG00000164398	23305
ACSM1	acyl-CoA synthetase medium chain family member 1	BUCS1	MACS1	16p12.3	AB059429	NM_052956	ENSG00000166743	116285
ACSM2A	acyl-CoA synthetase medium chain family member 2A	ACSM2	"A-923A4.1, MGC150530"	16p12.3	"AK091878, AK096039"	NM_001010845	ENSG00000183747	123876
ACSM2B	acyl-CoA synthetase medium chain family member 2B	ACSM2	"HXMA, HYST1046"	16p12.3	AY160217	NM_182617	ENSG00000066813	348158
ACSM3	acyl-CoA synthetase medium chain family member 3	SAH	SA	16p12.3	D16350	NM_005622	ENSG00000005187	6296
ACSM4	acyl-CoA synthetase medium chain family member 4			12p13.31		NM_001080454	ENSG00000215009	341392
ACSM5	acyl-CoA synthetase medium chain family member 5		FLJ20581	16p12.3		NM_017888	ENSG00000183549	54988
ACSM5P1	acyl-CoA synthetase medium chain family member 5 pseudogene 1			16p12.3		NG_026352	ENSG00000260762	100421779
ACSM6	acyl-CoA synthetase medium chain family member 6	C10orf129	bA310E22.3	10q23.33		NM_207321	ENSG00000173124	142827
ACSS1	acyl-CoA synthetase short chain family member 1	ACAS2L	"dJ568C11.3, AceCS2L, MGC33843"	20p11.21		NM_032501	ENSG00000154930	84532
ACSS2	acyl-CoA synthetase short chain family member 2	ACAS2	"ACS, ACSA, AceCS, dJ1161H23.1"	20q11.22	AF263614	NM_018677	ENSG00000131069	55902
ACSS3	acyl-CoA synthetase short chain family member 3		FLJ21963	12q21.31		NM_024560	ENSG00000111058	79611
ACTA1	"actin, alpha 1, skeletal muscle"	ACTA	NEM3	1q42.13	J00068	NM_001100	ENSG00000143632	58
ACTA2	"actin, alpha 2, smooth muscle, aorta"		ACTSA	10q23.31	X13839	NM_001613	ENSG00000107796	59
ACTA2-AS1	ACTA2 antisense RNA 1		"uc001kfo.1, ZXF1, UC001kfo"	10q23.31	"AK093340, AX748062"	NR_125373	ENSG00000180139	100132116
ACTB	actin beta			7p22.1	M28424	NM_001101	ENSG00000075624	60
ACTBL2	"actin, beta like 2"		DKFZp686D0972	5q11.2		NM_001017992	ENSG00000169067	345651
ACTBP1	"actin, beta pseudogene 1"			Xp11.3		NG_022596	ENSG00000229145	643309
ACTBP2	"actin, beta pseudogene 2"			5q14.1		NG_003019	ENSG00000213763	62
ACTBP3	"actin, beta pseudogene 3"			18q21.33				63
ACTBP4	"actin, beta pseudogene 4"			5q23.3				64
ACTBP6	"actin, beta pseudogene 6"			8q21.2		NG_008793	ENSG00000203413	66
ACTBP7	"actin, beta pseudogene 7"			15q15.3	V00479		ENSG00000185607	67
ACTBP8	"actin, beta pseudogene 8"		ACTBP2	6q15	V00481	NG_000840	ENSG00000220267	68
ACTBP9	"actin, beta pseudogene 9"			18q21.33	D50604	NG_003162	ENSG00000266920	69
ACTBP10	"actin, beta pseudogene 10"			14q11.2				446207
ACTBP11	"actin, beta pseudogene 11"			1q41			ENSG00000188460	644220
ACTBP12	"actin, beta pseudogene 12"	ACTGP5		1p22.1		NG_026958	ENSG00000233125	100462767
ACTBP13	"actin, beta pseudogene 13"			3p21.31			ENSG00000234667	389120
ACTBP14	"actin, beta pseudogene 14"			10q22.1		NG_022182	ENSG00000229001	389976
ACTC1	"actin, alpha, cardiac muscle 1"	ACTC	CMD1R	15q14	BC009978	NM_005159	ENSG00000159251	70
ACTG1	actin gamma 1	"ACTG, DFNA20, DFNA26"		17q25.3		NM_001614	ENSG00000184009	71
ACTG1P1	actin gamma 1 pseudogene 1	"ACTGP1, ACT1GP1"		3q23	D50658	NG_001068	ENSG00000178631	73
ACTG1P2	actin gamma 1 pseudogene 2	"ACTL2, ACTGP2"		Yq11.222		NG_004636	ENSG00000229129	74
ACTG1P3	actin gamma 1 pseudogene 3	ACTGP3		20p13	AF196978	NG_000842	ENSG00000215388	75
ACTG1P4	actin gamma 1 pseudogene 4	ACTGP4		1p21.1			ENSG00000236085	648740
ACTG1P6	actin gamma 1 pseudogene 6	ACTGP6		1p21				78
ACTG1P7	actin gamma 1 pseudogene 7	ACTGP7		1p21				79
ACTG1P8	actin gamma 1 pseudogene 8	ACTGP8		1p21				80
ACTG1P9	actin gamma 1 pseudogene 9	ACTGP9		6p12.3	D50659	NG_001069	ENSG00000229349	82
ACTG1P10	actin gamma 1 pseudogene 10	"ACTL1, ACTGP10"		Xp11.22	AL139396	NG_003039	ENSG00000231340	83
ACTG1P11	actin gamma 1 pseudogene 11			Yq11.222		NG_004636	ENSG00000229465	414754
ACTG1P12	actin gamma 1 pseudogene 12			3p25.2			ENSG00000226642	100418921
ACTG1P13	actin gamma 1 pseudogene 13			3q12.1			ENSG00000241305	100418920
ACTG1P14	actin gamma 1 pseudogene 14			9p24.1		NG_023870	ENSG00000230581	100418910
ACTG1P15	actin gamma 1 pseudogene 15			15q14			ENSG00000259904	100418951
ACTG1P16	actin gamma 1 pseudogene 16			16q12.1			ENSG00000260298	100418960
ACTG1P17	actin gamma 1 pseudogene 17			15q25.2			ENSG00000259315	283693
ACTG1P18	actin gamma 1 pseudogene 18			6q16.3			ENSG00000218475	100418924
ACTG1P19	actin gamma 1 pseudogene 19			9q31.1			ENSG00000237999	644160
ACTG1P20	actin gamma 1 pseudogene 20			1p36.11			ENSG00000241547	644961
ACTG1P21	actin gamma 1 pseudogene 21			1p31.1			ENSG00000232672	100131291
ACTG1P22	actin gamma 1 pseudogene 22			2p16.1			ENSG00000271615	100131953
ACTG1P23	actin gamma 1 pseudogene 23			3q26.31			ENSG00000230362	442097
ACTG1P24	actin gamma 1 pseudogene 24	POTENP		17p11.2			ENSG00000226359	441783
ACTG2	"actin, gamma 2, smooth muscle, enteric"	"ACTL3, ACTA3"	ACTSG	2p13.1		NM_001615	ENSG00000163017	72
ACTL6A	actin like 6A		"Actl6, BAF53A, Arp4, Baf53a, INO80K"	3q26.33	AK098691	NM_004301	ENSG00000136518	86
ACTL6B	actin like 6B	ACTL6	BAF53B	7q22.1	AB015906	NM_016188	ENSG00000077080	51412
ACTL7A	actin like 7A			9q31.3	BC014610	NM_006687	ENSG00000187003	10881
ACTL7B	actin like 7B		Tact1	9q31.3	BC033789	NM_006686	ENSG00000148156	10880
ACTL8	actin like 8		CT57	1p36.13	AK057339	NM_030812	ENSG00000117148	81569
ACTL9	actin like 9		MGC33407	19p13.2		NM_178525	ENSG00000181786	284382
ACTL10	actin like 10	C20orf134		20q11.22	AL121906		ENSG00000182584	170487
ACTN1	actinin alpha 1			14q24.1	M95178	NM_001102	ENSG00000072110	87
ACTN1-AS1	ACTN1 antisense RNA 1	C14orf84		14q24.1	"DB029126, AI147349"		ENSG00000259062	161159
ACTN2	actinin alpha 2			1q43	BC047901	NM_001103	ENSG00000077522	88
ACTN3	actinin alpha 3 (gene/pseudogene)			11q13.2	M86407	NM_001104	ENSG00000248746	89
ACTN4	actinin alpha 4	FSGS1		19q13.2	D89980		ENSG00000130402	81
ACTN4P1	actinin alpha 4 pseudogene 1			4q26			ENSG00000213493	344978
ACTN4P2	actinin alpha 4 pseudogene 2			1p34.3			ENSG00000214141	391026
ACTP1	actin family pseudogene 1			2q12.3		NG_044542	ENSG00000229890	106480335
ACTR1A	ARP1 actin related protein 1 homolog A		"ARP1, Arp1A"	10q24.32	X82206		ENSG00000138107	10121
ACTR1B	ARP1 actin related protein 1 homolog B	CTRN2	Arp1B	2q11.2	X82207	NM_005735	ENSG00000115073	10120
ACTR2	ARP2 actin related protein 2 homolog		ARP2	2p14	AF006082	NM_001005386	ENSG00000138071	10097
ACTR3	ARP3 actin related protein 3 homolog		ARP3	2q14.1	AF006083	NM_005721	ENSG00000115091	10096
ACTR3-AS1	ACTR3 antisense RNA 1		AC104653.1	2q14.1		NR_110174		101060091
ACTR3B	ARP3 actin related protein 3 homolog B		"ARP11, ARP3beta"	7q36.1-q36.2		NM_020445	ENSG00000133627	57180
ACTR3BP1	ACTR3B pseudogene 1			Yq11.21		NG_005799	ENSG00000270242	643050
ACTR3BP2	ACTR3B pseudogene 2		FKSG73	2p11.1			ENSG00000226481	440888
ACTR3BP3	ACTR3B pseudogene 3			16p11.2			ENSG00000260327	647156
ACTR3BP4	ACTR3B pseudogene 4			4q24			ENSG00000249283	777774
ACTR3BP5	ACTR3B pseudogene 5			10p11.1			ENSG00000227264	399746
ACTR3BP6	ACTR3B pseudogene 6			22q11.1			ENSG00000226444	644773
ACTR3C	ARP3 actin related protein 3 homolog C		ARP11	7q36.1			ENSG00000106526	653857
ACTR3P1	ACTR3 pseudogene 1			14q11.2				100288580
ACTR3P2	ACTR3 pseudogene 2			Xq13.1			ENSG00000232267	100129013
ACTR3P3	ACTR3 pseudogene 3			3q12.2			ENSG00000242573	100128020
ACTR5	ARP5 actin related protein 5 homolog		"FLJ12785, Arp5, INO80M"	20q11.23	AK022847	NM_024855	ENSG00000101442	79913
ACTR6	ARP6 actin related protein 6 homolog		"ARP6, FLJ13433"	12q23.1	AF212251	NM_022496	ENSG00000075089	64431
ACTR6P1	ACTR6 pseudogene 1			4q25		NG_025147	ENSG00000248915	100421495
ACTR8	ARP8 actin related protein 8 homolog		INO80N	3p21.1		NM_022899	ENSG00000113812	93973
ACTR10	actin related protein 10 homolog		"HARP11, ACTR11, Arp11, Arp10"	14q23.1	AF220190		ENSG00000131966	55860
ACTRT1	actin related protein T1		"AIP1, KIAA0705, ARIP1, Arp-T1"	Xq25	AF440739	NM_138289	ENSG00000123165	139741
ACTRT2	actin related protein T2		"Arp-T2, ARPM2, FLJ25424"	1p36.32	"AF440740, AB057364"	NM_080431	ENSG00000169717	140625
ACTRT3	actin related protein T3		ARPM1	3q26.2	AK055346	NM_032487	ENSG00000184378	84517
ACVR1	activin A receptor type 1	ACVRLK2	"SKR1, ALK2, ACVR1A"	2q24.1		NM_001105	ENSG00000115170	90
ACVR1B	activin A receptor type 1B	ACVRLK4	"ALK4, SKR2, ActRIB"	12q13.13		NM_020328	ENSG00000135503	91
ACVR1C	activin A receptor type 1C		"ALK7, ACVRLK7"	2q24.1	BC022530	NM_145259	ENSG00000123612	130399
ACVR2A	activin A receptor type 2A	ACVR2	ACTRII	2q22.3-q23.1		NM_001616	ENSG00000121989	92
ACVR2B	activin A receptor type 2B		ActR-IIB	3p22.2	X77533	NM_001106	ENSG00000114739	93
ACVR2B-AS1	ACVR2B antisense RNA 1			3p22.2	AK025619	NR_028389	ENSG00000229589	100128640
ACVRL1	activin A receptor like type 1	"ACVRLK1, ORW2"	"HHT2, ALK1, HHT"	12q13.13	L17075	NM_000020	ENSG00000139567	94
ACY1	aminoacylase 1			3p21.2	L07548	NM_000666	ENSG00000243989	95
ACY3	aminoacylase 3		"HCBP1, MGC9740, ACY-3"	11q13.2	BC008689	NM_080658	ENSG00000132744	91703
ACYP1	acylphosphatase 1			14q24.3	X84194		ENSG00000119640	97
ACYP2	acylphosphatase 2			2p16.2	X84195		ENSG00000170634	98
AD5	Alzheimer disease 5			12p11.23-q13.12				
ADA	adenosine deaminase			20q13.12	X02994	NM_000022	ENSG00000196839	100
ADA2	adenosine deaminase 2	"IDGFL, CECR1"	ADGF	22q11.1	AF190746		ENSG00000093072	51816
ADAD1	adenosine deaminase domain containing 1		Tenr	4q27	AK057303	NM_139243	ENSG00000164113	132612
ADAD1P1	adenosine deaminase domain containing 1 pseudogene 1			3p22.2				100422386
ADAD1P2	adenosine deaminase domain containing 1 pseudogene 2			18q21.1			ENSG00000267511	100422407
ADAD2	adenosine deaminase domain containing 2		"TENRL, FLJ00337"	16q24.1	AF447586	NM_139174	ENSG00000140955	161931
ADAL	adenosine deaminase like			15q15.3		NM_001324366	ENSG00000168803	161823
ADAM1A	ADAM metallopeptidase domain 1A (pseudogene)	ADAM1	"FTNAP, PH-30a, Ftna, ADAM1P"	12q24.12-q24.13	Y09232	NG_001216	ENSG00000229186	8759
ADAM1B	ADAM metallopeptidase domain 1B (pseudogene)			12q24.13		NG_024129	ENSG00000226469	100420505
ADAM2	ADAM metallopeptidase domain 2	FTNB	"PH-30b, PH30, CT15"	8p11.22	U52370	NM_001464	ENSG00000104755	2515
ADAM3A	ADAM metallopeptidase domain 3A (pseudogene)	CYRN1	"ADAM3, tMDCI"	8p11.22	X89657	NR_001569	ENSG00000197475	1587
ADAM3B	ADAM metallopeptidase domain 3B (pseudogene)	CYRN2		16q12.1	Y10615	NG_001526	ENSG00000260089	1596
ADAM5	ADAM metallopeptidase domain 5 (pseudogene)	ADAM5P	tMDCII	8p11.22	BC047448	NR_001448	ENSG00000196115	255926
ADAM6	ADAM metallopeptidase domain 6 (pseudogene)	C14orf96	tMDCIV	14q32.33	AI024595	NR_002224	ENSG00000271968	8755
ADAM7	ADAM metallopeptidase domain 7		"GP-83, EAPI"	8p21.2	AF090327	NM_003817	ENSG00000069206	8756
ADAM8	ADAM metallopeptidase domain 8		"CD156, MS2, CD156a"	10q26.3	D26579	NM_001109	ENSG00000151651	101
ADAM9	ADAM metallopeptidase domain 9	CORD9	"MDC9, KIAA0021, MCMP, Mltng"	8p11.22	U41766		ENSG00000168615	8754
ADAM10	ADAM metallopeptidase domain 10		"kuz, MADM, HsT18717, CD156c"	15q21.3	AF009615	NM_001110	ENSG00000137845	102
ADAM11	ADAM metallopeptidase domain 11	MDC		17q21.31	D17390	NM_002390	ENSG00000073670	4185
ADAM12	ADAM metallopeptidase domain 12		"MCMPMltna, MLTN"	10q26.2	AF023476		ENSG00000148848	8038
ADAM15	ADAM metallopeptidase domain 15		MDC15	1q21.3	U46005	NM_003815	ENSG00000143537	8751
ADAM17	ADAM metallopeptidase domain 17	TACE	"cSVP, CD156B"	2p25.1	U69611		ENSG00000151694	6868
ADAM18	ADAM metallopeptidase domain 18		"tMDCIII, ADAM27"	8p11.22	AJ133004	NM_014237	ENSG00000168619	8749
ADAM19	ADAM metallopeptidase domain 19		MLTNB	5q33.3	AF311317	NM_033274	ENSG00000135074	8728
ADAM20	ADAM metallopeptidase domain 20			14q24.2	AF029899		ENSG00000134007	8748
ADAM20P1	ADAM metallopeptidase domain 20 pseudogene 1	C14orf55		14q24.2	BC047939	NR_037933	ENSG00000259158	317760
ADAM20P2	ADAM metallopeptidase domain 20 pseudogene 2			4q34.2			ENSG00000248574	100533671
ADAM20P3	ADAM metallopeptidase domain 20 pseudogene 3			4q35.2			ENSG00000249162	644325
ADAM21	ADAM metallopeptidase domain 21		ADAM31	14q24.2	AF029900		ENSG00000139985	8747
ADAM21P1	ADAM metallopeptidase domain 21 pseudogene 1	ADAM21P		14q24.2		NG_002467	ENSG00000235812	145241
ADAM22	ADAM metallopeptidase domain 22		MDC2	7q21.12	AB009671	NM_021723	ENSG00000008277	53616
ADAM23	ADAM metallopeptidase domain 23		MDC3	2q33.3	AB009672	NM_003812	ENSG00000114948	8745
ADAM24P	"ADAM metallopeptidase domain 24, pseudogene"			8p22			ENSG00000214607	646479
ADAM28	ADAM metallopeptidase domain 28		"eMDCII, MDC-Lm, MDC-Ls, ADAM23"	8p21.2	AJ242015	NM_021778	ENSG00000042980	10863
ADAM29	ADAM metallopeptidase domain 29		"svph1, CT73"	4q34.1	AF171929		ENSG00000168594	11086
ADAM30	ADAM metallopeptidase domain 30		svph4	1p12	AF171932	NM_021794	ENSG00000134249	11085
ADAM32	ADAM metallopeptidase domain 32			8p11.22	BC026085	NM_145004	ENSG00000197140	203102
ADAM33	ADAM metallopeptidase domain 33	C20orf153	"DKFZp434K0521, dJ964F7.1"	20p13	"AL117415, AB055891"	NM_025220	ENSG00000149451	80332
ADAMDEC1	ADAM like decysin 1		M12.219	8p21.2	Y13323	NM_014479	ENSG00000134028	27299
ADAMTS1	ADAM metallopeptidase with thrombospondin type 1 motif 1		"C3-C5, METH1, KIAA1346"	21q21.3	AF060152		ENSG00000154734	9510
ADAMTS2	ADAM metallopeptidase with thrombospondin type 1 motif 2		"ADAMTS-3, hPCPNI, PCINP, ADAM-TS2, NPI"	5q35.3	AJ003125	NM_014244	ENSG00000087116	9509
ADAMTS3	ADAM metallopeptidase with thrombospondin type 1 motif 3		"KIAA0366, ADAMTS-4"	4q13.3	AB002364		ENSG00000156140	9508
ADAMTS4	ADAM metallopeptidase with thrombospondin type 1 motif 4		"KIAA0688, ADAMTS-2, ADMP-1"	1q23.3	AB014588	NM_005099	ENSG00000158859	9507
ADAMTS5	ADAM metallopeptidase with thrombospondin type 1 motif 5		"ADMP-2, ADAMTS11"	21q21.3	AF142099		ENSG00000154736	11096
ADAMTS6	ADAM metallopeptidase with thrombospondin type 1 motif 6		ADAM-TS6	5q12.3	AF140674	NM_197941	ENSG00000049192	11174
ADAMTS7	ADAM metallopeptidase with thrombospondin type 1 motif 7		"ADAM-TS7, DKFZp434H204"	15q25.1	AF140675	NM_014272	ENSG00000136378	11173
ADAMTS7P1	ADAMTS7 pseudogene 1	ADAMTS7P2		15q25.2			ENSG00000274376	390660
ADAMTS7P3	ADAMTS7 pseudogene 3			15q24.3			ENSG00000261143	400406
ADAMTS7P4	ADAMTS7 pseudogene 4			15q25.3			ENSG00000218052	642935
ADAMTS8	ADAM metallopeptidase with thrombospondin type 1 motif 8		"METH2, FLJ41712, ADAM-TS8"	11q24.3	AF060153	NM_007037	ENSG00000134917	11095
ADAMTS9	ADAM metallopeptidase with thrombospondin type 1 motif 9		KIAA1312	3p14.1	AF261918		ENSG00000163638	56999
ADAMTS9-AS1	ADAMTS9 antisense RNA 1			3p14.1		NR_110150	ENSG00000241158	101929335
ADAMTS9-AS2	ADAMTS9 antisense RNA 2			3p14.1		NR_038264	ENSG00000241684	100507098
ADAMTS10	ADAM metallopeptidase with thrombospondin type 1 motif 10		ADAM-TS10	19p13.2	AF163762	NM_030957	ENSG00000142303	81794
ADAMTS12	ADAM metallopeptidase with thrombospondin type 1 motif 12			5p13.3-p13.2	AJ250725	NM_030955	ENSG00000151388	81792
ADAMTS13	ADAM metallopeptidase with thrombospondin type 1 motif 13	C9orf8	"VWFCP, TTP, vWF-CP, FLJ42993, MGC118899, MGC118900, DKFZp434C2322"	9q34.2	AJ011374	NM_139025	ENSG00000160323	11093
ADAMTS14	ADAM metallopeptidase with thrombospondin type 1 motif 14			10q22.1	AF358666	NM_080722	ENSG00000138316	140766
ADAMTS15	ADAM metallopeptidase with thrombospondin type 1 motif 15			11q24.3	AJ315733	NM_139055	ENSG00000166106	170689
ADAMTS16	ADAM metallopeptidase with thrombospondin type 1 motif 16		ADAMTS16s	5p15.32	AJ315734	NM_139056	ENSG00000145536	170690
ADAMTS17	ADAM metallopeptidase with thrombospondin type 1 motif 17		"FLJ32769, FLJ16363"	15q26.3	AJ315735	NM_139057	ENSG00000140470	170691
ADAMTS18	ADAM metallopeptidase with thrombospondin type 1 motif 18	ADAMTS21		16q23.1	AJ311903		ENSG00000140873	170692
ADAMTS19	ADAM metallopeptidase with thrombospondin type 1 motif 19			5q23.3	AJ311904	NM_133638	ENSG00000145808	171019
ADAMTS19-AS1	ADAMTS19 antisense RNA 1		RP11-346A9.1	5q23.3	DA728271		ENSG00000249421	
ADAMTS20	ADAM metallopeptidase with thrombospondin type 1 motif 20		GON-1	12q12	AF488804	NM_025003	ENSG00000173157	80070
ADAMTSL1	ADAMTS like 1	C9orf94	"ADAMTSR1, FLJ35283"	9p22.2-p22.1	AF176313		ENSG00000178031	92949
ADAMTSL2	ADAMTS like 2		KIAA0605	9q34.2	AB011177	NM_014694	ENSG00000197859	9719
ADAMTSL3	ADAMTS like 3		"KIAA1233, punctin-2"	15q25.2	AF237652	NM_207517	ENSG00000156218	57188
ADAMTSL4	ADAMTS like 4	TSRC1	DKFZP434K1772	1q21.2	BC027478	NM_019032	ENSG00000143382	54507
ADAMTSL4-AS1	ADAMTSL4 antisense RNA 1	C1orf138	FLJ45786	1q21.2	AK127688		ENSG00000203804	
ADAMTSL5	ADAMTS like 5	THSD6		19p13.3	BC040620	NM_213604	ENSG00000185761	339366
ADAP1	ArfGAP with dual PH domains 1	CENTA1	GCS1L	7p22.3	AJ006422	NM_006869	ENSG00000105963	11033
ADAP2	ArfGAP with dual PH domains 2	CENTA2		17q11.2	AJ238994	NM_018404	ENSG00000184060	55803
ADAR	"adenosine deaminase, RNA specific"	"IFI4, G1P1"	ADAR1	1q21.3	BC038227	NM_001111	ENSG00000160710	103
ADARB1	"adenosine deaminase, RNA specific B1"		"ADAR2, DRADA2, ADAR2g, DRABA2, RED1, hRED1, ADAR2a-L1, ADAR2a-L2, ADAR2a-L3, ADAR2a, ADAR2b, ADAR2c, ADAR2d"	21q22.3	U76420	NM_015833	ENSG00000197381	104
ADARB2	"adenosine deaminase, RNA specific B2 (inactive)"		"RED2, hRED2, ADAR3"	10p15.3	AF034837	NM_018702	ENSG00000185736	105
ADARB2-AS1	ADARB2 antisense RNA 1	"C10orf109, NCRNA00168"	bA466B20.1	10p15.3		NR_033387	ENSG00000205696	642394
ADAT1	"adenosine deaminase, tRNA specific 1"			16q23.1	AF125188	NM_012091	ENSG00000065457	23536
ADAT2	"adenosine deaminase, tRNA specific 2"	DEADC1	"dJ20N2.1, TAD2"	6q24.2	BC037955	NM_001286259	ENSG00000189007	134637
ADAT3	"adenosine deaminase, tRNA specific 3"		TAD3	19p13.3	BC011824	NM_138422	ENSG00000213638	113179
ADCK1	aarF domain containing kinase 1		FLJ39600	14q24.3	AK096919	NM_020421	ENSG00000063761	57143
ADCK2	aarF domain containing kinase 2		MGC20727	7q34	AF131745	NM_052853	ENSG00000133597	90956
ADCK5	aarF domain containing kinase 5		FLJ35454	8q24.3	BC032402	NM_174922	ENSG00000173137	203054
ADCP1	adenosine deaminase complexing protein 1			6				106
ADCY1	adenylate cyclase 1	DFNB44	AC1	7p12.3	L05500	NM_021116	ENSG00000164742	107
ADCY2	adenylate cyclase 2		"HBAC2, KIAA1060, AC2"	5p15.31	AB028983	NM_020546	ENSG00000078295	108
ADCY3	adenylate cyclase 3		AC3	2p23.3	AF033861		ENSG00000138031	109
ADCY4	adenylate cyclase 4		AC4	14q12	AF497516		ENSG00000129467	196883
ADCY5	adenylate cyclase 5		AC5	3q21.1	U65473	NM_183357	ENSG00000173175	111
ADCY6	adenylate cyclase 6		AC6	12q13.12		NM_020983	ENSG00000174233	112
ADCY7	adenylate cyclase 7		"KIAA0037, AC7"	16q12.1	D25538		ENSG00000121281	113
ADCY8	adenylate cyclase 8	ADCY3	"HBAC1, AC8"	8q24.22	Z35309		ENSG00000155897	114
ADCY9	adenylate cyclase 9		AC9	16p13.3	AF036927		ENSG00000162104	115
ADCY10	adenylate cyclase 10		"SAC, Sacy, SACI, HCA2, RP1-313L4.2"	1q24.2	AF271058	NM_018417	ENSG00000143199	55811
ADCY10P1	"adenylate cyclase 10, soluble pseudogene 1"			6p21.1		NR_026938	ENSG00000161912	221442
ADCYAP1	adenylate cyclase activating polypeptide 1		PACAP	18p11.32	S83513	NM_001117	ENSG00000141433	116
ADCYAP1R1	ADCYAP receptor type I		"PAC1, PACAPR, PAC1R"	7p14.3		NM_001118	ENSG00000078549	117
